"","","",LABORATORY CERTIFICATION (LC) 
HCPCS ,MOD ,DESCRIPTION ,CODE
G0103 ,"","Psa, screening ",310
G0123 ,"",Screen cerv/vag thin layer ,630
G0124 ,"",Screen c/v thin layer by MD ,630
G0141 ,"","Scr c/v cyto,autosys and md ",630
G0143 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0144 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0145 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0147 ,"","Scr c/v cyto, automated sys ",630
G0148 ,"","Scr c/v cyto, autosys, rescr ",630
G0306 ,"",CBC/diffwbc w/o platelet ,400
G0307 ,"",CBC without platelet ,400
G0328 ,"",Fecal blood scrn immunoassay ,"310, 400"
G0416 ,"","Prostate biopsy, any mthd ",610
G0416 ,TC ,"Prostate biopsy, any mthd ",610
G0416 ,26 ,"Prostate biopsy, any mthd ",610
G0431 ,"",Drug screen multip class - Discontinued 12/31/2015 ,340
G0432 ,"",EIA HIV-1/HIV-2 screen ,"140, 220"
G0433 ,"",ELISA HIV-1/HIV-2 screen  ,"140, 220"
G0434 ,"",Drug screen multi drug class - Discontinued 12/31/2015 ,340
G0435 ,"",Oral HIV-1/HIV-2 screen ,"140, 220"
G0464 ,"",Colorectal cancer screening; stool-based dna and fecal occult ,"220, 310, 900"
"","","hemoglobin (e.g., kras, ndrg4 and bmp3)",""
G0472 ,"","Hepatitis c antibody screening, for individual at high risk and ",220
"","",other covered indication(s),""
G0477 ,"",Drug test presump optical - Effective 1/1/2016 ,340
G0478 ,"",Drug test presump opt inst - Effective 1/1/2016 ,340
G0479 ,"",Drug test presump not opt - Effective 1/1/2016 ,340
G0480 ,"",Drug test def 1-7 classes - Effective 1/1/2016 ,340
G0481 ,"",Drug test def 8-14 classes - Effective 1/1/2016 ,340
G0482 ,"",Drug test def 15-21 classes - Effective 1/1/2016 ,340
G0483 ,"",Drug test def 22+ classes - Effective 1/1/2016 ,340
G6030 ,"",Amitriptyline - Discontinued 12/31/2015 ,340
G6031 ,"",Benzodiazepines - Discontinued 12/31/2015 ,340
